name,command,clear
T-BAR 28,801C,
T-BAR 29,801D,
T-BAR 30,801E,
T-BAR 31,801F,
T-BAR 32,8020,
T-BAR 33,8021,
T-BAR 34,8022,
T-BAR 35,8023,
T-BAR 36,8024,
T-BAR 37,8025,
T-BAR 38,8026,
T-BAR 39,8027,
T-BAR 40,8028,
T-BAR 41,8029,
T-BAR 42,802A,
T-BAR 43,802B,
T-BAR 44,802C,
T-BAR 45,802D,
T-BAR 46,802E,
T-BAR 47,802F,
T-BAR 48,8030,
T-BAR 49,8031,
T-BAR 50,8032,
T-BAR 51,8033,
T-BAR 52,8034,
T-BAR 53,8035,
T-BAR 54,8036,
T-BAR 55,8037,
T-BAR 56,8038,
T-BAR 57,8039,
T-BAR 58,803A,
T-BAR 59,803B,
T-BAR 60,803C,
T-BAR 61,803D,
T-BAR 62,803E,
T-BAR 63,803F,
T-BAR 64,8040,
T-BAR 65,8041,
T-BAR 66,8042,
T-BAR 67,8043,
T-BAR 68,8044,
T-BAR 69,8045,
T-BAR 70,8046,
T-BAR 71,8047,
T-BAR 72,8048,
T-BAR 73,8049,
T-BAR 74,804A,
T-BAR 75,804B,
T-BAR 76,804C,
T-BAR 77,804D,
T-BAR 78,804E,
T-BAR 79,804F,
T-BAR 80,8050,
T-BAR 81,8051,
T-BAR 82,8052,
T-BAR 83,8053,
T-BAR 84,8054,
T-BAR 85,8055,
T-BAR 86,8056,
T-BAR 87,8057,
T-BAR 88,8058,
T-BAR 89,8059,
T-BAR 90,805A,
T-BAR 91,805B,
T-BAR 92,805C,
T-BAR 93,805D,
T-BAR 94,805E,
T-BAR 95,805F,
T-BAR 96,8060,
T-BAR 97,8061,
T-BAR 98,8062,
T-BAR 99,8063,
T-BAR 100,8064,
T-BAR 101,8065,
T-BAR 102,8066,
T-BAR 103,8067,
T-BAR 104,8068,
T-BAR 105,8069,
T-BAR 106,806A,
T-BAR 107,806B,
T-BAR 108,806C,
T-BAR 109,806D,
T-BAR 110,806E,
T-BAR 111,806F,
T-BAR 112,8070,
T-BAR 113,8071,
T-BAR 114,8072,
T-BAR 115,8073,
T-BAR 116,8074,
T-BAR 117,8075,
T-BAR 118,8076,
T-BAR 119,8077,
T-BAR 120,8078,
T-BAR 121,8079,
T-BAR 122,807A,
T-BAR 123,807B,
T-BAR 124,807C,
T-BAR 125,807D,
T-BAR 126,807E,
T-BAR 127,807F,
T-BAR 128,8080,
T-BAR 129,8081,
T-BAR 130,8082,
T-BAR 131,8083,
T-BAR 132,8084,
T-BAR 133,8085,
T-BAR 134,8086,
T-BAR 135,8087,
T-BAR 136,8088,
T-BAR 137,8089,
T-BAR 138,808A,
T-BAR 139,808B,
T-BAR 140,808C,
T-BAR 141,808D,
T-BAR 142,808E,
T-BAR 143,808F,
T-BAR 144,8090,
T-BAR 145,8091,
T-BAR 146,8092,
T-BAR 147,8093,
T-BAR 148,8094,
T-BAR 149,8095,
T-BAR 150,8096,
T-BAR 151,8097,
T-BAR 152,8098,
T-BAR 153,8099,
T-BAR 154,809A,
T-BAR 155,809B,
T-BAR 156,809C,
T-BAR 157,809D,
T-BAR 158,809E,
T-BAR 159,809F,
T-BAR 160,80A0,
T-BAR 161,80A1,
T-BAR 162,80A2,
T-BAR 163,80A3,
T-BAR 164,80A4,
T-BAR 165,80A5,
T-BAR 166,80A6,
T-BAR 167,80A7,
T-BAR 168,80A8,
T-BAR 169,80A9,
T-BAR 170,80AA,
T-BAR 171,80AB,
T-BAR 172,80AC,
T-BAR 173,80AD,
T-BAR 174,80AE,
T-BAR 175,80AF,
T-BAR 176,80B0,
T-BAR 177,80B1,
T-BAR 178,80B2,
T-BAR 179,80B3,
T-BAR 180,80B4,
T-BAR 181,80B5,
T-BAR 182,80B6,
T-BAR 183,80B7,
T-BAR 184,80B8,
T-BAR 185,80B9,
T-BAR 186,80BA,
T-BAR 187,80BB,
T-BAR 188,80BC,
T-BAR 189,80BD,
T-BAR 190,80BE,
T-BAR 191,80BF,
T-BAR 192,80C0,
T-BAR 193,80C1,
T-BAR 194,80C2,
T-BAR 195,80C3,
T-BAR 196,80C4,
T-BAR 197,80C5,
T-BAR 198,80C6,
T-BAR 199,80C7,
T-BAR 200,80C8,
T-BAR 201,80C9,
T-BAR 202,80CA,
T-BAR 203,80CB,
T-BAR 204,80CC,
T-BAR 205,80CD,
T-BAR 206,80CE,
T-BAR 207,80CF,
T-BAR 208,80D0,
T-BAR 209,80D1,
T-BAR 210,80D2,
T-BAR 211,80D3,
T-BAR 212,80D4,
T-BAR 213,80D5,
T-BAR 214,80D6,
T-BAR 215,80D7,
T-BAR 216,80D8,
T-BAR 217,80D9,
T-BAR 218,80DA,
T-BAR 219,80DB,
T-BAR 220,80DC,
T-BAR 221,80DD,
T-BAR 222,80DE,
T-BAR 223,80DF,
T-BAR 224,80E0,
T-BAR 225,80E1,
T-BAR 226,80E2,
T-BAR 227,80E3,
T-BAR 228,80E4,
T-BAR 229,80E5,
T-BAR 230,80E6,
T-BAR 231,80E7,
T-BAR 232,80E8,
T-BAR 233,80E9,
T-BAR 234,80EA,
T-BAR 235,80EB,
T-BAR 236,80EC,
T-BAR 237,80ED,
T-BAR 238,80EE,
T-BAR 239,80EF,
T-BAR 240,80F0,
T-BAR 241,80F1,
T-BAR 242,80F2,
T-BAR 243,80F3,
T-BAR 244,80F4,
T-BAR 245,80F5,
T-BAR 246,80F6,
T-BAR 247,80F7,
T-BAR 248,80F8,
T-BAR 249,80F9,
T-BAR 250,80FA,
T-BAR 251,80FB,
T-BAR 252,80FC,
T-BAR 253,80FD,
T-BAR 254,80FE,
T-BAR 255,80FF,
