name,command,clear
TRANSITION SPEED KNOB 182,~8B6,
TRANSITION SPEED KNOB 183,~8B7,
TRANSITION SPEED KNOB 184,~8B8,
TRANSITION SPEED KNOB 185,~8B9,
TRANSITION SPEED KNOB 186,~8BA,
TRANSITION SPEED KNOB 187,~8BB,
TRANSITION SPEED KNOB 188,~8BC,
TRANSITION SPEED KNOB 189,~8BD,
TRANSITION SPEED KNOB 190,~8BE,
TRANSITION SPEED KNOB 191,~8BF,
TRANSITION SPEED KNOB 192,~8C0,
TRANSITION SPEED KNOB 193,~8C1,
TRANSITION SPEED KNOB 194,~8C2,
TRANSITION SPEED KNOB 195,~8C3,
TRANSITION SPEED KNOB 196,~8C4,
TRANSITION SPEED KNOB 197,~8C5,
TRANSITION SPEED KNOB 198,~8C6,
TRANSITION SPEED KNOB 199,~8C7,
TRANSITION SPEED KNOB 200,~8C8,
TRANSITION SPEED KNOB 201,~8C9,
TRANSITION SPEED KNOB 202,~8CA,
TRANSITION SPEED KNOB 203,~8CB,
TRANSITION SPEED KNOB 204,~8CC,
TRANSITION SPEED KNOB 205,~8CD,
TRANSITION SPEED KNOB 206,~8CE,
TRANSITION SPEED KNOB 207,~8CF,
TRANSITION SPEED KNOB 208,~8D0,
TRANSITION SPEED KNOB 209,~8D1,
TRANSITION SPEED KNOB 210,~8D2,
TRANSITION SPEED KNOB 211,~8D3,
TRANSITION SPEED KNOB 212,~8D4,
TRANSITION SPEED KNOB 213,~8D5,
TRANSITION SPEED KNOB 214,~8D6,
TRANSITION SPEED KNOB 215,~8D7,
TRANSITION SPEED KNOB 216,~8D8,
TRANSITION SPEED KNOB 217,~8D9,
TRANSITION SPEED KNOB 218,~8DA,
TRANSITION SPEED KNOB 219,~8DB,
TRANSITION SPEED KNOB 220,~8DC,
TRANSITION SPEED KNOB 221,~8DD,
TRANSITION SPEED KNOB 222,~8DE,
TRANSITION SPEED KNOB 223,~8DF,
TRANSITION SPEED KNOB 224,~8E0,
TRANSITION SPEED KNOB 225,~8E1,
TRANSITION SPEED KNOB 226,~8E2,
TRANSITION SPEED KNOB 227,~8E3,
TRANSITION SPEED KNOB 228,~8E4,
TRANSITION SPEED KNOB 229,~8E5,
TRANSITION SPEED KNOB 230,~8E6,
TRANSITION SPEED KNOB 231,~8E7,
TRANSITION SPEED KNOB 232,~8E8,
TRANSITION SPEED KNOB 233,~8E9,
TRANSITION SPEED KNOB 234,~8EA,
TRANSITION SPEED KNOB 235,~8EB,
TRANSITION SPEED KNOB 236,~8EC,
TRANSITION SPEED KNOB 237,~8ED,
TRANSITION SPEED KNOB 238,~8EE,
TRANSITION SPEED KNOB 239,~8EF,
TRANSITION SPEED KNOB 240,~8F0,
TRANSITION SPEED KNOB 241,~8F1,
TRANSITION SPEED KNOB 242,~8F2,
TRANSITION SPEED KNOB 243,~8F3,
TRANSITION SPEED KNOB 244,~8F4,
TRANSITION SPEED KNOB 245,~8F5,
TRANSITION SPEED KNOB 246,~8F6,
TRANSITION SPEED KNOB 247,~8F7,
TRANSITION SPEED KNOB 248,~8F8,
TRANSITION SPEED KNOB 249,~8F9,
TRANSITION SPEED KNOB 250,~8FA,
TRANSITION SPEED KNOB 251,~8FB,
TRANSITION SPEED KNOB 252,~8FC,
TRANSITION SPEED KNOB 253,~8FD,
TRANSITION SPEED KNOB 254,~8FE,
TRANSITION SPEED KNOB 255,~8FF,
TRANSITION FX KNOB 0,~900,
TRANSITION FX KNOB 1,~901,
TRANSITION FX KNOB 2,~902,
TRANSITION FX KNOB 3,~903,
TRANSITION FX KNOB 4,~904,
TRANSITION FX KNOB 5,~905,
TRANSITION FX KNOB 6,~906,
TRANSITION FX KNOB 7,~907,
TRANSITION FX KNOB 8,~908,
TRANSITION FX KNOB 9,~909,
TRANSITION FX KNOB 10,~90A,
TRANSITION FX KNOB 11,~90B,
TRANSITION FX KNOB 12,~90C,
TRANSITION FX KNOB 13,~90D,
TRANSITION FX KNOB 14,~90E,
TRANSITION FX KNOB 15,~90F,
TRANSITION FX KNOB 16,~910,
TRANSITION FX KNOB 17,~911,
TRANSITION FX KNOB 18,~912,
TRANSITION FX KNOB 19,~913,
TRANSITION FX KNOB 20,~914,
TRANSITION FX KNOB 21,~915,
TRANSITION FX KNOB 22,~916,
TRANSITION FX KNOB 23,~917,
TRANSITION FX KNOB 24,~918,
TRANSITION FX KNOB 25,~919,
TRANSITION FX KNOB 26,~91A,
TRANSITION FX KNOB 27,~91B,
TRANSITION FX KNOB 28,~91C,
TRANSITION FX KNOB 29,~91D,
TRANSITION FX KNOB 30,~91E,
TRANSITION FX KNOB 31,~91F,
TRANSITION FX KNOB 32,~920,
TRANSITION FX KNOB 33,~921,
TRANSITION FX KNOB 34,~922,
TRANSITION FX KNOB 35,~923,
TRANSITION FX KNOB 36,~924,
TRANSITION FX KNOB 37,~925,
TRANSITION FX KNOB 38,~926,
TRANSITION FX KNOB 39,~927,
TRANSITION FX KNOB 40,~928,
TRANSITION FX KNOB 41,~929,
TRANSITION FX KNOB 42,~92A,
TRANSITION FX KNOB 43,~92B,
TRANSITION FX KNOB 44,~92C,
TRANSITION FX KNOB 45,~92D,
TRANSITION FX KNOB 46,~92E,
TRANSITION FX KNOB 47,~92F,
TRANSITION FX KNOB 48,~930,
TRANSITION FX KNOB 49,~931,
TRANSITION FX KNOB 50,~932,
TRANSITION FX KNOB 51,~933,
TRANSITION FX KNOB 52,~934,
TRANSITION FX KNOB 53,~935,
TRANSITION FX KNOB 54,~936,
TRANSITION FX KNOB 55,~937,
TRANSITION FX KNOB 56,~938,
TRANSITION FX KNOB 57,~939,
TRANSITION FX KNOB 58,~93A,
TRANSITION FX KNOB 59,~93B,
TRANSITION FX KNOB 60,~93C,
TRANSITION FX KNOB 61,~93D,
TRANSITION FX KNOB 62,~93E,
TRANSITION FX KNOB 63,~93F,
TRANSITION FX KNOB 64,~940,
TRANSITION FX KNOB 65,~941,
TRANSITION FX KNOB 66,~942,
TRANSITION FX KNOB 67,~943,
TRANSITION FX KNOB 68,~944,
TRANSITION FX KNOB 69,~945,
TRANSITION FX KNOB 70,~946,
TRANSITION FX KNOB 71,~947,
TRANSITION FX KNOB 72,~948,
TRANSITION FX KNOB 73,~949,
TRANSITION FX KNOB 74,~94A,
TRANSITION FX KNOB 75,~94B,
TRANSITION FX KNOB 76,~94C,
TRANSITION FX KNOB 77,~94D,
TRANSITION FX KNOB 78,~94E,
TRANSITION FX KNOB 79,~94F,
TRANSITION FX KNOB 80,~950,
TRANSITION FX KNOB 81,~951,
TRANSITION FX KNOB 82,~952,
TRANSITION FX KNOB 83,~953,
TRANSITION FX KNOB 84,~954,
TRANSITION FX KNOB 85,~955,
TRANSITION FX KNOB 86,~956,
TRANSITION FX KNOB 87,~957,
TRANSITION FX KNOB 88,~958,
TRANSITION FX KNOB 89,~959,
TRANSITION FX KNOB 90,~95A,
TRANSITION FX KNOB 91,~95B,
TRANSITION FX KNOB 92,~95C,
TRANSITION FX KNOB 93,~95D,
TRANSITION FX KNOB 94,~95E,
TRANSITION FX KNOB 95,~95F,
TRANSITION FX KNOB 96,~960,
TRANSITION FX KNOB 97,~961,
TRANSITION FX KNOB 98,~962,
TRANSITION FX KNOB 99,~963,
TRANSITION FX KNOB 100,~964,
TRANSITION FX KNOB 101,~965,
TRANSITION FX KNOB 102,~966,
TRANSITION FX KNOB 103,~967,
TRANSITION FX KNOB 104,~968,
TRANSITION FX KNOB 105,~969,
TRANSITION FX KNOB 106,~96A,
TRANSITION FX KNOB 107,~96B,
TRANSITION FX KNOB 108,~96C,
TRANSITION FX KNOB 109,~96D,
TRANSITION FX KNOB 110,~96E,
TRANSITION FX KNOB 111,~96F,
TRANSITION FX KNOB 112,~970,
TRANSITION FX KNOB 113,~971,
TRANSITION FX KNOB 114,~972,
TRANSITION FX KNOB 115,~973,
TRANSITION FX KNOB 116,~974,
TRANSITION FX KNOB 117,~975,
TRANSITION FX KNOB 118,~976,
TRANSITION FX KNOB 119,~977,
TRANSITION FX KNOB 120,~978,
TRANSITION FX KNOB 121,~979,
TRANSITION FX KNOB 122,~97A,
TRANSITION FX KNOB 123,~97B,
TRANSITION FX KNOB 124,~97C,
TRANSITION FX KNOB 125,~97D,
TRANSITION FX KNOB 126,~97E,
TRANSITION FX KNOB 127,~97F,
TRANSITION FX KNOB 128,~980,
TRANSITION FX KNOB 129,~981,
TRANSITION FX KNOB 130,~982,
TRANSITION FX KNOB 131,~983,
TRANSITION FX KNOB 132,~984,
TRANSITION FX KNOB 133,~985,
TRANSITION FX KNOB 134,~986,
TRANSITION FX KNOB 135,~987,
TRANSITION FX KNOB 136,~988,
TRANSITION FX KNOB 137,~989,
TRANSITION FX KNOB 138,~98A,
TRANSITION FX KNOB 139,~98B,
TRANSITION FX KNOB 140,~98C,
TRANSITION FX KNOB 141,~98D,
TRANSITION FX KNOB 142,~98E,
TRANSITION FX KNOB 143,~98F,
TRANSITION FX KNOB 144,~990,
TRANSITION FX KNOB 145,~991,
TRANSITION FX KNOB 146,~992,
TRANSITION FX KNOB 147,~993,
TRANSITION FX KNOB 148,~994,
